ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,Unnamed: 6,QualityScore,QualityScoreComment
3329,무슨 내용인지 모르겠다,없음/모름,,,내용 이해 불가,,3,카테고리 불명확
6236,방수를 더하다,기능성 강조,긍정적 평가,방수,,,4,-
4632,평범했다,광고 전반,평범함,,평범,,3,카테고리 불명확
9381,수지,Not enough data,Not enough data,,,,2,데이터 부족
7173,배우가 멋짐,모델,호감도 높음,배우|멋짐,,,4,-
3475,평범함,Not enough data,Not enough data,,,,3,데이터 부족
8168,평범해서,광고 임팩트,약한 임팩트,,평범함,,3,카테고리 불충분
8581,오래지 않아 땀이 흐를것 같은 느낌이 즐거운 트레킹을 했을 것 같은 느낌이 들었다.,감성 소구,긍정적,즐거운 트레킹|오래지 않아 땀이 흐를 것 같은 느낌,,,4,-
3797,밋밋하다,시각적 요소,부정적 평가,,밋밋함,,3,부정확한 분류
160,광고 분위기가 발랄하고 활동적이어서 네파와 잘 어울림.,광고 전반,신선함,분위기|발랄함|활동성|어울림,,,4,-
9494,모델이 예쁨,모델,호감도 높음,예쁨,,,5,-
9755,내용을 이해하기 좋음,메시지/카피,이해도 높음,내용|이해,,,4,-
6695,무난하다,광고 임팩트,약한 임팩트,무난함,,,3,카테고리 불충분
157,신발광고가 확 들어온다,광고 임팩트,강한 임팩트,신발|광고,,,4,-
3867,모델,Not enough data,Not enough data,,,,3,데이터 부족
9669,광고 모델과 신발의 색상이 바뀐 것과 배경이 바뀌었으나 전체적인 느낌은 앞에 봤던 광고와 차이가 없다.,광고 전반,평범함,모델|신발|색상|배경,차이 없음,,3,카테고리 불일치
6970,이준호,Not enough data,Not enough data,,,,2,데이터가 부족함
8466,광경,Not enough data,Not enough data,,,,2,데이터 부족
9918,믿음직함,신뢰성,긍정적 평가,믿음직함,,,4,-
5902,어떤 겨울에도 견딜 수 있는 제품 같아서,기능성 강조,보온성,겨울|제품,,,4,-
247,몇km만 산책하자는 멘트가 거슬리고 모델도 호감가지않음,메시지/카피,부정적 평가,,멘트|모델,,3,부정확한 분류
7358,그냥 무난한 광고인데.,광고 임팩트,약한 임팩트,무난함,,,3,카테고리 불일치
8394,다른 아웃도어 브랜드 광고와 차별성이 없어서,광고 전반,평범함,,차별성,,3,카테고리 불명확
949,음악이 마음에 든다,음악/사운드,긍정적 평가,음악,,,4,-
689,신발의 기능을 알 수 있다,기능성 강조,긍정적 평가,기능,,,4,-
134,모델은 보통 제품은 별로,모델,부정적 평가,모델,제품,,3,부정확한 분류
362,걷는게 대세인데 잘 표현한듯 하다,광고 구성,긍정적 평가,표현|대세,,,4,-
9015,기냥저냥 평범합니다,전반적 평가,중립적,,평범함,,3,카테고리 적절함
3158,전체적으로 내맘에는 별로다,전반적 평가,부정적,,내맘에 별로,,3,부정적 주제 불명확
3332,광고의 분위기가 발랄해서 좋고 카피의 색감이 이쁘며 모델 안유진이 마음에 들기 때문이다,감성 소구,긍정적,분위기|카피|색감|모델,,,5,-
4032,아이유와 패딩이 잘어울려서 패딩을 구매하고싶게 만든다,모델,호감도 높음,아이유|패딩,,,4,-
4078,이유 없음,없음/모름,,,,,3,불충분한 정보
6356,보기 좋다,전반적 평가,긍정적,보기 좋음,,,4,-
2483,모델이 좋음,모델,호감도 높음,모델,,,4,-
6799,어떤길을걷던,감성 소구,긍정적,길|여정,,,4,-
5096,기성복,Not enough data,Not enough data,,,,2,데이터 부족
902,밝아보인다,시각적 요소,긍정적 평가,밝음,,,4,-
4427,아이유는 진리,기타,,아이유,,,4,-
1242,의미를 잘 모르겠음,없음/모름,,,,,3,카테고리 불명확
2830,평범하다,광고 임팩트,약한 임팩트,없음,평범함,,3,라벨링이 불충분함
1475,전반적으로 그냥 그렇다,전반적 평가,중립적,,그냥,,3,부정적 주제 불명확
119,모델이 상큼하다,모델,호감도 높음,상큼함,,,4,-
2354,수지 싫음,모델,호감도 낮음,,수지,,3,모호한 분류
8509,성능을 시각적으로 잘 표현했다,기능성 강조,긍정적 평가,성능|시각적 표현,,,4,-
9295,편안함,Not enough data,Not enough data,,,,3,데이터 부족
3443,모델이 마음에 든다,모델,호감도 높음,모델,,,4,-
6146,특별할게 없다.,광고 전반,평범함,,특별함 부족,,3,카테고리 불충분
4149,브랜드와 모델이 잘 어울립니다,모델,호감도 높음,브랜드|모델,,,4,-
5625,다운들에게 묻는다,메시지/카피,독창성,,,,3,카테고리 불충분
3420,모델,Not enough data,Not enough data,,,,3,데이터 부족
5379,모델과 광고장면이 마음에 든다,모델,호감도 높음,모델|광고장면,,,4,-
6979,광고가 그냥 평범하고 딱히 마음에 오는게 없다.,광고 임팩트,약한 임팩트,,평범함,,3,카테고리 불충분
4314,히말라야 적합한,제품/브랜드,기능성 강조,히말라야|적합성,,,3,카테고리 불명확
1425,뭘 광고하는지 모르겠음,메시지/카피,이해도 낮음,,광고 내용|제품,,3,광고 내용 불명확
6863,참신하고 간결하다,광고 전반,신선함,참신함,,,4,-
4105,전문적인 아우터의 기능에 대한 믿음이 간다.,신뢰성,긍정적 평가,전문성|기능|믿음,,,4,-
6076,배경음악이 마음에 듬,음악/사운드,긍정적 평가,배경음악,,,4,-
8101,흔하지만 노래가 좋고 역동적이다,광고 임팩트,약한 임팩트,노래|역동성,흔함,,3,카테고리 불일치
4025,아이유가 좋다,모델,호감도 높음,아이유,,,4,-
6843,광고 모델이 좋습니다,모델,호감도 높음,모델,,,4,-
1957,좋아하는 모델도 광고에 나오고 제품의 특징도 잘 알 수 있기 때문이다.,광고 구성,긍정적 평가,모델|제품 특징,,,4,-
9285,딱히 새로울게 없다,광고 전반,평범함,없음,새로움 부족,,3,카테고리 불명확
3354,모델이 마음에 든다,모델,호감도 높음,모델,,,4,-
2310,수지,Not enough data,Not enough data,,,,3,데이터 부족
9684,광고 내용이 비슷비슷하다,광고 전반,평범함,없음,비슷한 내용,,3,카테고리 불명확
2223,애용하는 제품이다.,제품/브랜드,긍정적 평가,애용|제품,,,4,-
4970,보통의 패딩 그 보다 더 아이더,광고 전반,평범함,아이더,보통|패딩,,3,카테고리 불명확
3305,모델과 주변 풍경,모델,호감도 높음,모델|풍경,,,3,모델과 풍경 불일치
2920,발랄 상큼,감성 소구,긍정적,발랄|상큼,,,4,-
6595,그냥 그렇다,광고 임팩트,약한 임팩트,,평범함,,3,라벨이 불충분함
1968,밝은 분위기와 브랜드 이미지가 잘 어울린다,비주얼,전체적 분위기,밝은 분위기|브랜드 이미지,,,4,-
2899,흥미부족,광고 임팩트,약한 임팩트,,흥미,,3,카테고리 불충분
5979,모델,Not enough data,Not enough data,,,,3,데이터 부족
3327,이유 없음,없음/모름,,,,,2,카테고리 불명확
5337,시선을 사로잡는,광고 임팩트,강한 임팩트,시선,,,4,-
132,관심사항이 아니어서,없음/모름,,,관심사항,,3,카테고리 불충분
6171,모든 것이 어울리지가 않다,전반적 평가,부정적,없음,어울림,,3,부정적 주제 불일치
586,광고모델이 마음에든다,모델,호감도 높음,광고모델,,,4,-
4455,모델은 맘에 들어요,모델,호감도 높음,모델,,,4,-
9599,발이 편안해 보인다,제품/브랜드,기능성 강조,편안함,,,4,-
8868,기능이 궁금하다,광고 전반,기억에 남지 않음,기능,,,3,카테고리 불일치
5413,앱솔루트 좋아요,전반적 평가,긍정적,앱솔루트,,,4,-
5406,수지가 걷다 끝나는 느낌,광고 구성,부정적 평가,수지,걷다|끝나는 느낌,,3,부정확한 라벨링
4406,내용이 깔끔해서 좋았다,광고 전반,신선함,깔끔함|내용,,,4,-
6201,키포인트가 뭔지 모른다.,없음/모름,,,키포인트,,3,카테고리 불충분
1232,아이유와 광고 내용이 잘 어울린다,모델,호감도 높음,아이유|어울림,,,4,-
6048,그저 평범한 카피,메시지/카피,부정적 평가,,평범한 카피,,3,카테고리 불충분
4872,광고가 눈에 띈다,광고 임팩트,강한 임팩트,눈에 띔,,,4,-
1434,거침없이 뛰어드세요. 아이유. 블랙,메시지/카피,독창성,아이유|블랙,,,4,-
545,모델,Not enough data,Not enough data,,,,2,데이터 부족
530,좋아하는 모델 자연스러운 연기,모델,호감도 높음,모델|자연스러운 연기,,,4,-
1740,모델 말고는 특별히 기억에 안남는다,모델,호감도 높음,모델,기억에 안남,,3,부정적 주제 누락
9940,가볍게느꺼짐,제품/브랜드,기능성 강조,가벼움,,,4,-
1136,좋아요,Not enough data,Not enough data,,,,3,데이터 부족
6795,쿠션 장착,광고 구성,긍정적 평가,쿠션,,,4,-
142,밝고 명쾌한 느낌. 모델의 발랄한 모습이 어울림,감성 소구,긍정적,밝은 느낌|명쾌한 느낌|발랄한 모습,,,4,-
1129,어두운 분위기,비주얼,전체적 분위기,,어두운 분위기,,3,부정적 주제 중복
8617,360도 에어로 시스템,기능성 강조,기술력,에어로 시스템,,,4,-
7588,시원한 자연 배경이 떠나고 싶게 만들어요.,비주얼,배경,자연|배경,,,4,-
5818,배우가 좋다,모델,호감도 높음,배우,,,4,-
486,수수한 거 같아서,광고 전반,평범함,,수수함,,3,카테고리 불명확
2195,배경이 아름다웠습니다,시각적 요소,배경,배경|아름다움,,,4,-
4490,gtx다운 자켓,제품/브랜드,디자인,GTX 다운 자켓,,,4,-
5676,모델이 세련되고 고급스럽다,모델,호감도 높음,세련됨|고급스러움,,,4,-
8397,야생적이어서,감성 소구,긍정적,야생|자연,,,4,-
9441,광고모델 수지,모델,호감도 높음,수지,,,4,-
4026,배경과 어울리지 않는다,비주얼,부정적 평가,,배경|어울림,,4,-
7275,광고가 밝다,광고 전반,신선함,밝음,,,4,-
651,걷고 싶다,감성 소구,긍정적,걷고 싶다,,,4,-
940,이유 없음,없음/모름,,,,,3,카테고리 불명확
2728,로고를 피하는 모습,광고 구성,부정적 평가,,로고 피함,,3,카테고리 불명확
4538,보통이라서,전반적 평가,중립적,,보통,,3,라벨이 적절함
9908,모델이 잘 어울린다,모델,호감도 높음,모델|어울림,,,4,-
6014,모델,Not enough data,Not enough data,,,,2,데이터 부족
8014,장엄한 광고분위기,광고 임팩트,강한 임팩트,장엄함,,,4,-
3107,모델이 별로다,모델,호감도 낮음,,모델,,3,카테고리 불일치
6266,조용한 가운데 시선을 끌어서 광고브랜드의 이미지를 극대화시킵니다,광고 임팩트,강한 임팩트,시선|이미지 극대화,,,4,-
4716,스테롤다운,없음/모름,,,,,3,카테고리 불충분
1881,이유 없음,없음/모름,,,,,3,불충분한 정보
4524,분위기,Not enough data,Not enough data,,,,3,데이터 부족
4826,광고배경,시각적 요소,배경,,,,3,세부사항 부족
3615,배경이 이국적임,시각적 요소,배경,이국적 배경,,,4,-
6162,물방울을 이용한 광고가 매우 신선하고 신비로운 느낌이 들어서 마음에 든다,독창성,높음,물방울|신선함|신비로움,,,4,-
4812,모델이 마음에 든다,모델,호감도 높음,모델,,,4,-
5629,코오롱스포츠,제품/브랜드,브랜드 이미지,,,,3,응답 데이터 부족
3098,나와는 어울리지 않는다,타겟 적합성,부정적,없음,어울리지 않음,,4,-
9168,지루해서,광고 전반,기억에 남지 않음,,지루함,,3,카테고리 불명확
1478,배경이 제품과 어울릴 것 같이서.,비주얼,배경,배경|어울림,,,4,-
1652,배경 좋음,비주얼,배경,배경,,,4,-
9487,광고모델이 매우 예쁘다,모델,호감도 높음,광고모델|예쁨,,,5,-
7345,색채가 화려하지 않아서,시각적 요소,색감,,화려하지 않음,,3,부정적 주제 불명확
3790,모델 안유진과 겨울의 분위기가 네파의 제품 컨셉트를 잘 표현했다고 생각합니다,감성 소구,긍정적,모델|겨울 분위기|제품 컨셉트,,,4,-
2436,쿠셔닝 신발이 푹신하고 좋아보인다,제품/브랜드,긍정적 평가,쿠셔닝|신발|푹신함,,,4,-
790,신발에 대한 확실한 설명과 이미지,광고 구성,긍정적 평가,설명|이미지,,,4,-
9588,너무 평이한 문고와 밋밋한 모델,광고 전반,평범함,없음,평이한 문구|밋밋한 모델,,3,부정적 주제 적절함
2308,모델과 신발이 너무 자세하게 대비되어서 보인다,비주얼,부정적 평가,,모델|신발|대비,,4,-
4113,히말라야 극한에서도 보호해 준다는 문구가 눈길을 끈다,메시지/카피,독창성,문구|눈길,,,4,-
3462,산만하다,광고 전반,기억에 남지 않음,,산만함,,3,카테고리 부정확
2652,김태리 신선,모델,호감도 높음,김태리|신선함,,,4,-
9125,모델이 좋음,모델,긍정적 평가,모델,,,5,-
3578,이유 없음,없음/모름,,,,,3,카테고리 불명확
7102,깔끔하고 보기좋고 알기쉽다,광고 구성,긍정적 평가,깔끔함|보기 좋음|알기 쉬움,,,5,-
1472,모델이활동적으로보인다,모델,호감도 높음,활동성,,,4,-
5794,이유 없음,없음/모름,,,,,3,카테고리 불충분
2584,광고 자체는 마음에 들지만 앞부분은 무언가 어두운 느낌이 든다.,감성 소구,긍정적,광고,어두운 느낌,,4,-
3013,나오는 문구,메시지/카피,이해도 낮음,문구,,,3,이해도 낮음
5317,전신 다운,제품/브랜드,기능성 강조,전신 다운,,,3,불명확한 라벨링
1989,그냥 보통의 아웃도어 신발의 광고라서,광고 전반,평범함,없음,보통|아웃도어 신발,,3,카테고리 불명확
6418,차은우라서,모델,호감도 높음,차은우,,,4,-
2471,플라이워크가 와닿지않는다,광고 전반,기억에 남지 않음,,플라이워크|와닿지않음,,3,부정적 주제 중복
5028,모델이 마음에 든다,모델,호감도 높음,모델,,,4,-
9557,신발과 옷이 전체적으로 검정색이라 요즘 감성에 맞춘건가 생각했다. 일상생활에서 자연으로 넘어가는 장면이 인상적이었다,광고 구성,긍정적 평가,일상생활|자연|장면,,,4,-
3195,특별하지 않다,광고 전반,평범함,,특별하지 않음,,3,라벨링이 적절함
8765,신발이 숨을 쉰다는 발상부터가 상당히 신선하게 다가옵니다,독창성,높음,발상|신선함,,,4,-
3523,롱패딩인데 날씬하고 예뻐보인다.,제품/브랜드,디자인,롱패딩|날씬함|예쁨,,,4,-
891,모델이 마음에들어서,모델,호감도 높음,모델,,,4,-
3038,보통이어서,전반적 평가,중립적,,보통,,3,카테고리 불명확
3089,괜찮아서,전반적 평가,긍정적,괜찮음,,,4,-
3869,차분한 느낌,감성 소구,고급스러움,차분함,,,4,-
