ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
30,자유롭고 밝은 분위기가 제품에 대한 호기심,광고 전반,신선함,분위기|호기심,,
31,모델 안유진과 탁트인 들판 배경이 시원해서 맘에든다,시각적 요소,배경,모델|들판|배경,,
32,젊음은 생활할수록 즐긴다,메시지/카피,독창성,젊음|즐김,,
33,자연 환경에서의 편안한 걸음,비주얼,전체적 분위기,자연|편안함,,
34,광고 장면,없음/모름,,,,
35,신발신고 드라이브하듯 기분좋게 다녀서,감성 소구,긍정적,기분|드라이브,,
36,산뜻한 느낌이 좋다,광고 전반,신선함,산뜻한 느낌,,
37,자연을 즐기면서 활동을 한다,광고 전반,신선함,자연|활동,,
38,신발의편리함,제품/브랜드,기능성 강조,편리함,,
39,모델이 생소하다,모델,호감도 낮음,없음,생소함,
40,이유 없음,없음/모름,,,,
41,친근감,Not enough data,Not enough data,,,
42,편함,Not enough data,Not enough data,,,
43,광고가 신선하다,광고 전반,신선함,신선함,,
44,네파를 인식할 수 있도록 반복강조한 멘트,메시지/카피,독창성,반복강조,,
45,모델,Not enough data,Not enough data,,,
46,발랄하다,감성 소구,긍정적,발랄함,,
47,특별히 관심을 끌만한 포인트가 없음,광고 임팩트,약한 임팩트,없음,포인트 부족,
48,분위기,Not enough data,Not enough data,,,
49,모델이 마음에 든다,모델,호감도 높음,모델,,
50,모델이 눈길을 끈다,모델,호감도 높음,모델|눈길,,
51,아주 자유롭고 상쾌하게 느껴진다.,감성 소구,긍정적,자유로움|상쾌함,,
52,관심 없음,전반적 평가,부정적,없음,관심 없음,
53,다른 브랜드와 차별성이 없어서,광고 전반,평범함,,차별성,
54,이유 없음,없음/모름,,,,
55,녹색녹색해서 좋음,비주얼,색감,녹색,,
56,이유 없음,없음/모름,,,,
57,광고모델이 이쁘다,모델,호감도 높음,광고모델|이쁨,,
58,이유 없음,없음/모름,,,,
59,경쾌한 느낌이 좋다,음악/사운드,긍정적 평가,경쾌한 느낌,,
60,신발을 배처럼 표현함,창의성,긍정적,신발|배,,
61,무난함,Not enough data,Not enough data,,,
62,광고 모델이 마음에 든다,모델,호감도 높음,광고 모델,,
63,편하고 신고 벗기 편할 것 같아서 좋아보인다,제품/브랜드,기능성 강조,편함|신고 벗기 편함,,
64,브랜드 이미지 극대화,제품/브랜드,브랜드 이미지,브랜드 이미지|극대화,,
65,광고 모델이 마음에 든다,모델,호감도 높음,광고 모델,,
66,모델의 표정과 웃음이 인상이 남아서,모델,호감도 높음,표정|웃음,,
67,모델,Not enough data,Not enough data,,,
68,네파 광고는 전지현,모델,인지도,전지현,,
69,즐거움,Not enough data,Not enough data,,,
70,밝은 느낌이 좋아서,비주얼,색감,밝은 느낌,,
71,이유 없음,없음/모름,,,,
72,별로 기억에 남지 않는다,광고 전반,기억에 남지 않음,,기억,
73,활기차고좋다,전반적 평가,긍정적,활기|좋음,,
74,모델이 예쁘다,모델,호감도 높음,예쁨,,
75,임팩트 없음,광고 임팩트,약한 임팩트,,임팩트,
76,눈길이 가지 않는다,광고 임팩트,약한 임팩트,,눈길,
77,모델의 발랄함과 동작이 아웃도어와 어울린다,모델,호감도 높음,발랄함|동작,,
78,걷기 편한 신발,제품/브랜드,기능성 강조,편한 신발,,
79,모델,Not enough data,Not enough data,,,
80,안유진이 너무 맘에 든다,모델,호감도 높음,안유진,,
81,상쾌함 건전함 네파,광고 전반,신선함,상쾌함|건전함,,
82,나와 관련 없는 젊은이의 패션,타겟 적합성,부정적,없음,젊은이|패션,
83,모델이 마음에 든다,모델,호감도 높음,모델,,
84,상품에 대해 전달하는 의도가 한눈에 보인다.,메시지/카피,이해도 높음,의도|전달,,
85,산뜻한 분위기,비주얼,전체적 분위기,산뜻함,,
86,광고모델이 밝아서 보기좋다,모델,호감도 높음,광고모델|밝음,,
87,산책 가고 싶게 만드는 분위기가 좋다,감성 소구,긍정적,분위기,,
88,모델이 마음에 든다,모델,호감도 높음,모델,,
89,모델이 신선,모델,호감도 높음,신선함,,
90,처음 보는 광고인데 빠져들지 않는다,광고 임팩트,약한 임팩트,없음,빠져들지 않음,
91,신나는음악에 가벼운 발걸음이 신발을 매력적이게 느끼게 했다,감성 소구,긍정적,음악|발걸음|신발,,
92,광고모델이 마음에 든다,모델,호감도 높음,광고모델,,
93,뚜렷한 내용 전달이 약함,메시지/카피,이해도 낮음,없음,내용 전달|약함,
94,이유 없음,없음/모름,,,,
95,모델이 마음에 든다,모델,호감도 높음,모델,,
96,상큼한 느낌이다,감성 소구,긍정적,상큼한 느낌,,
97,모델이 신선하다,모델,호감도 높음,신선함,,
98,밝은 이미지로 브랜드에 대해 긍정적인 생각을 갖게한다,전반적 평가,긍정적,밝은 이미지|긍정적 생각|브랜드,,
99,식상해서 평가할만게 없다,광고 전반,평범함,없음,식상함,
100,평범함,Not enough data,Not enough data,,,
101,유진 모델이 아주 상큼하고 미소가 좋다,모델,호감도 높음,유진|모델|상큼함|미소,,
102,즐길수록 커진다,메시지/카피,독창성,즐거움|성장,,
103,생활의 편의성,기능성 강조,긍정적 평가,편의성,,
104,모델이 마음에 든다,모델,호감도 높음,모델,,
105,모델과 제품이 잘 어울리는 듯 하네요,모델,호감도 높음,모델|제품,,
106,자유로운 젊은 분위기가 느껴진다,감성 소구,긍정적,젊은 분위기|자유로운 분위기,,
107,특별히 기억되는게 없음,광고 전반,기억에 남지 않음,,기억 부족,
108,모델이 좋다,모델,호감도 높음,모델,,
109,자연을 즐기자,메시지/카피,공감도 높음,자연|즐김,,
110,광고모델도 젊은층으로 이루어져 젊게 활기차게 보입니다. <즐길수록 커진다> 공감이 갑니다,감성 소구,긍정적,광고모델|젊은층|활기차게|즐길수록 커진다|공감,,
111,신선하고 유쾌하다,광고 전반,신선함,신선함|유쾌함,,
112,산뜻하고 부담없이 입고 활동할 수 있을 것 같아보여 좋다,제품/브랜드,기능성 강조,산뜻함|부담없음|활동성,,
113,자연 배경과 모델이 마음에 든다,비주얼,배경,자연 배경|모델,,
114,하이플로 푸쉬 발이 편안함을 잘 전달해서,메시지/카피,이해도 높음,편안함|전달,,
115,보통 접하는 광고와 다를게 없음,광고 전반,평범함,,평범함|차별성 부족,
116,자연환경이 서정적이다,비주얼,배경,자연환경|서정적,,
117,평범,Not enough data,Not enough data,,,
118,자연은 즐길수록 커진다 네파,메시지/카피,독창성,자연|즐김,,
119,모델이 상큼하다,모델,호감도 높음,상큼함,,
120,자연과 어울리는 모델과 의류,비주얼,전체적 분위기,자연|모델|의류,,
121,마지막 큰 신발과 모델이 같이 있는 화면이 어색함,광고 구성,부정적 평가,,어색함|큰 신발|모델,
122,광고 모델 안유진이 제품 이미지와 잘 어울려 보인다,모델,호감도 높음,모델|안유진|이미지|어울림,,
123,건강하고발랄하다,감성 소구,긍정적,건강|발랄,,
124,편안한 발걸음을 잘 나타내는 광고이다,광고 구성,긍정적 평가,편안한 발걸음|광고,,
125,배경과 모델의 말이 듣기에 좋다,광고 구성,긍정적 평가,배경|모델|말,,
126,흥미,Not enough data,Not enough data,,,
127,대사와 모델,메시지/카피,이해도 낮음,대사|모델,,
128,발이편하다,기능성 강조,긍정적 평가,발|편함,,
129,상큼발랄한 모델,모델,호감도 높음,상큼발랄|모델,,
130,일단 배우가 좋아하는 아이브의 안유진이다,모델,호감도 높음,안유진|아이브,,
131,모델이 유진,모델,인지도,유진,,
132,관심사항이 아니어서,없음/모름,,,관심사항,
133,트래킹화,제품/브랜드,기능성 강조,트래킹화,,
134,모델은 보통 제품은 별로,모델,부정적 평가,모델,제품,
135,모델이 이쁘다,모델,호감도 높음,모델|이쁨,,
136,너무 좋아서,전반적 평가,긍정적,좋음,,
137,광고의 분위기가 밝고 활기찬 느낌이 들어서,감성 소구,긍정적,분위기|활기,,
138,좋아보인다,전반적 평가,긍정적,좋아보임,,
139,경쾌하면서도 오래 걸어도 신발이 편안해 보일 것 같은 느낌이 든다,기능성 강조,긍정적 평가,경쾌함|편안함,,
140,하얀 신발,비주얼,색감,하얀 신발,,
141,신선해서 좋음,광고 전반,신선함,신선함,,
142,밝고 명쾌한 느낌. 모델의 발랄한 모습이 어울림,감성 소구,긍정적,밝은 느낌|명쾌한 느낌|발랄한 모습,,
143,유진이가 이뻐요,모델,호감도 높음,유진|예쁨,,
144,모델이 에쁘고 젊은 느낌이 나는 광고다,모델,호감도 높음,모델|젊은 느낌,,
145,모델이 마음에 든다,모델,호감도 높음,모델,,
146,모델이 적절하지 않다,모델,호감도 낮음,,모델,
147,문구가 쉽다,메시지/카피,이해도 높음,쉬움,,
148,강력한 스토리가 없음,광고 구성,부정적 평가,,스토리,
149,모델과 잘 어울립니다,모델,호감도 높음,모델|어울림,,
150,안유진 풀밭,모델,호감도 높음,안유진,,
151,광고 장면이 깨끗해 보임,시각적 요소,긍정적 평가,깨끗함,,
152,모델이 신선,모델,호감도 높음,신선함,,
153,색다름이없다,광고 전반,평범함,,색다름 없음,
154,모델,Not enough data,Not enough data,,,
155,네파브렌드를 좋아한다.,제품/브랜드,브랜드 이미지,네파|브랜드,,
156,소녀가 나와서 즐기는 모습을 보여준다,모델,호감도 높음,소녀|즐기는 모습,,
157,신발광고가 확 들어온다,광고 임팩트,강한 임팩트,신발|광고,,
158,아이브 안유진이 모델,모델,호감도 높음,아이브|안유진,,
159,밝고 젊어보임,비주얼,색감,밝음|젊음,,
160,광고 분위기가 발랄하고 활동적이어서 네파와 잘 어울림.,광고 전반,신선함,분위기|발랄함|활동성|어울림,,
161,자연을 배경으로 한것이 시원했고 아이돌 여자 모델의 연기도 좋은듯,시각적 요소,배경,자연|배경,,
162,모델이 이쁘장해서,모델,호감도 높음,모델|이쁘장함,,
163,사고 싶다,구매 의도,긍정적,구매 의사,,
164,시원함,Not enough data,Not enough data,,,
165,신발이 예쁘고 편해보인다,제품/브랜드,디자인,신발|예쁨|편안함,,
166,색다르다고 여겨지지 않아서,독창성,낮음,,색다름 부족,
167,포인트 부족,광고 전반,약한 임팩트,,포인트,
168,무난함,Not enough data,Not enough data,,,
169,가벼운 발걸음 발이편함을 보여준다,기능성 강조,긍정적 평가,가벼움|편함,,
170,자연에서 즐긴다,비주얼,전체적 분위기,자연,,
171,신상품과 배경과 음악이 잘 어울렸고 모델이 그런 분위기 표현을 잘해줘서,광고 구성,긍정적 평가,신상품|배경|음악|모델|분위기,,
172,모델이 별로에요,모델,호감도 낮음,,모델,
173,광고가 유쾌하고 기분좋게 하다,감성 소구,긍정적,유쾌함|기분 좋음,,
174,제품에 대한 다가오는게 없다,제품/브랜드,부정적 평가,,제품|다가옴 없음,
175,귀여운 이미지 입니다,감성 소구,긍정적,귀여운 이미지,,
176,모델,Not enough data,Not enough data,,,
177,모델과 밝은 이미지가 잘 어울린다,모델,호감도 높음,모델|이미지,,
178,가볍고 편안함이 느껴진다,제품/브랜드,기능성 강조,가벼움|편안함,,
179,모델,Not enough data,Not enough data,,,
180,호기심,Not enough data,Not enough data,,,
181,싱그러운 느낌이 물씬 난다.,감성 소구,긍정적,싱그러움|느낌,,
182,그저 그런 느낌이라서,전반적 평가,중립적,,그저 그런 느낌,
183,배경이 맘에 듬,시각적 요소,배경,배경,,
184,밝은 이미지의 모델이 나오니 덩달아 기분이 좋아진다,모델,호감도 높음,밝은 이미지|기분 좋음,,
185,안유진 호감,모델,호감도 높음,안유진|호감,,
186,음악이 좋다,음악/사운드,긍정적 평가,음악,,
187,모델이이뻐서,모델,호감도 높음,모델|이쁨,,
188,음악이 좋다,음악/사운드,긍정적 평가,음악,,
189,맑은 분위기가 기분 좋게 한다,감성 소구,긍정적,맑은 분위기|기분,,
190,분위기가 밝고 활달해서 좋으나 나와 같은 또래들에 대한 제품은 아닌 것 같은 생각이 들어서,광고 전반,신선함,분위기,또래,
191,일반적이다,광고 전반,평범함,,일반적,
192,경쾌하고 발랄하다,광고 전반,신선함,경쾌함|발랄함,,
193,안유진은 이쁘나 광고가좀유치함,광고 전반,평범함,안유진,유치함,
194,여자가 예뻐서,모델,호감도 높음,여자|예쁨,,
195,배경이 이쁘고 좋네요,비주얼,배경,배경|이쁨,,
196,나와는 상관 없는 제품이다,타겟 적합성,부정적,없음,상관없는 제품,
197,편안하게 걸을 수 있을것 같다,기능성 강조,보온성,편안함,,
198,문구,Not enough data,Not enough data,,,
199,산바람 부는 자연 모습,비주얼,배경,자연|산바람,,
200,산선하다,기타,,산,,
201,광고 장면 문구나 카피 모델 배경,광고 구성,긍정적 평가,장면|문구|카피|모델|배경,,
202,배경이 시원하다,비주얼,전체적 분위기,시원함|배경,,
203,안유진이 너무 예쁘다 사고싶다,모델,호감도 높음,안유진|예쁨,,
204,친숙한 브랜드,제품/브랜드,브랜드 이미지,친숙함,,
205,이끌리지 않는다,광고 전반,기억에 남지 않음,,이끌림 부족,
206,광고의 내용이 이해가 되도록 나타내어서,메시지/카피,이해도 높음,내용 이해,,
207,모델의 워킹 모습,모델,긍정적 평가,워킹,,
208,이유 없음,없음/모름,,,,
209,발걸음이 가벼워 보여서,감성 소구,긍정적,발걸음|가벼움,,
210,그냥 너무 평범해서 기억에 남는 어떤것도 없습니다,광고 전반,평범함,없음,평범함|기억에 남지 않음,
211,제품 이해가 쉽다,메시지/카피,이해도 높음,제품 이해,,
212,경쾌하고 밝은 분위기요,시각적 요소,긍정적 평가,경쾌한 분위기|밝은 분위기,,
213,광고모델이 호감을 주지 않음,모델,호감도 낮음,,호감,
214,광고모델이 좋아서,모델,호감도 높음,광고모델,,
215,조금은 단조로워 보이는 스토리에 집중이 잘 안되서,광고 전반,몰입도,없음,단조로운 스토리|집중력 부족,
216,아웃도어 브랜드 같지 않고 캐쥬얼 브랜드 처럼 보여요,제품/브랜드,브랜드 이미지,,아웃도어|캐주얼,
217,모델이 안어울린다,모델,호감도 낮음,,모델|부조화,
218,안유진 이쁨,모델,호감도 높음,안유진|이쁨,,
219,색깔 발랄한 모습은 좋았다 하지만 그렇게 임팩있진 않았다,광고 임팩트,약한 임팩트,색깔|발랄한 모습,임팩트,
220,카피가 기억에 잘 남기 때문에,메시지/카피,기억력 높음,카피|기억,,
221,안유진이 예뻐서,모델,호감도 높음,안유진|예쁨,,
222,일반적인 광고임,광고 전반,평범함,,일반적인 광고,
223,제품이 좋다.,제품/브랜드,긍정적 평가,제품,,
224,발랄한 느낌이 든다,감성 소구,긍정적,발랄한 느낌,,
225,상쾌함의 음악,음악/사운드,긍정적 평가,상쾌함,,
226,모델이 마음에 든다,모델,호감도 높음,모델,,
227,안유진 이미지와 어울림,모델,호감도 높음,이미지|어울림,,
228,운동화가 좀 더 자세히 보였으면,제품/브랜드,부정적 평가,,운동화|노출 부족,
229,경쾌하다,음악/사운드,긍정적 평가,경쾌함,,
230,우선 모델의 긍정적이고 즐거운 모습이 광고에 어울림,모델,호감도 높음,모델|긍정적 모습|즐거운 모습,,
231,모델이 잘 어울립니다.,모델,호감도 높음,모델|어울림,,
232,나이키 같은 감성이 없다,광고 전반,평범함,없음,감성,
233,밝은 에너지가 좋아서,비주얼,색감,밝은 에너지,,
234,모델이 동산에서 자유롭게 뛰는 모습이 좋았습니다.,모델,호감도 높음,모델|동산|자유로운 모습,,
235,뭐 그냥 웃기만 하네,광고 전반,평범함,없음,웃음,
236,모델이 누군지도 모르고 평범한 내용이다,모델,호감도 낮음,없음,평범|모델 인지도 부족,
237,안유진이 나와서 좋음,모델,호감도 높음,안유진,,
238,즐길수록 커진다,메시지/카피,독창성,즐거움|성장,,
239,네파의 전문성이 돋보인다,전문성,긍정적 평가,전문성,,
240,신선한 느낌이 든다,광고 전반,신선함,신선한 느낌,,
241,어울리는 모델과 당장이라도 신고 뛰어나가고 싶게 만드는 배경과 신나는 배경음악,광고 구성,긍정적 평가,모델|배경|배경음악,,
242,그냥 평범하다,광고 전반,평범함,,평범,
243,모델이 맘에 든다,모델,호감도 높음,모델,,
244,즐길수록 커진다,메시지/카피,독창성,즐거움|성장,,
245,배경과 모델이 마음에 듬,비주얼,배경,배경|모델,,
246,모델이 마음에 들고 배경화면도 느낌이 좋다.,감성 소구,긍정적,모델|배경화면,,
247,몇km만 산책하자는 멘트가 거슬리고 모델도 호감가지않음,메시지/카피,부정적 평가,,멘트|모델,
248,잘 기억에 남지 않는 광고였다.,광고 전반,기억에 남지 않음,,기억,
249,분위기가 활발하고 좋다,비주얼,전체적 분위기,분위기|활발함,,
250,특별함이없어 기억에 남지 않음,광고 전반,기억에 남지 않음,,특별함|기억,
251,구매의사가 생기게 만듬,구매 의도,긍정적,구매의사,,
252,자연스럽게,광고 구성,긍정적 평가,자연스러움,,
253,이유 없음,없음/모름,,,,
254,설명 이해,기타,,,,
255,경쾌한 느낌이 보기 좋음,광고 전반,신선함,경쾌한 느낌|보기 좋음,,
256,평범,Not enough data,Not enough data,,,
257,모델과 제품이 잘 어울려서,모델,호감도 높음,모델|제품|어울림,,
258,이유 없음,없음/모름,,,,
259,배경이 좋아요,비주얼,배경,배경,,
260,내용이 평범해서 네파에 대한 인상이 약하다,광고 임팩트,약한 임팩트,없음,평범함|약한 인상,
261,상콤 발랄해 보인다,감성 소구,긍정적,상콤|발랄,,
262,모델이 좋음,모델,호감도 높음,모델,,
263,joy 즉 즐기다,메시지/카피,독창성,즐거움,,
264,광고 모델과 광고 찍은 장소에서의 제품 줌인이 맘에 든다,모델,호감도 높음,모델|장소|제품 줌인,,
265,모델이 마음에 든다,모델,호감도 높음,모델,,
266,흔히 접할 수 있는 아웃도어 광고와 대동소이하므로,광고 전반,평범함,없음,흔한 광고|대동소이,
267,모델,Not enough data,Not enough data,,,
268,광고모델이 상큼하다,모델,호감도 높음,상큼함,,
269,자연을 즐긴다. 네파 안유진,기타,,자연|네파|안유진,,
270,밝은 이미지와 네파의 이미지가 잘 어우려졌다,비주얼,전체적 분위기,밝은 이미지|네파 이미지,,
271,특별히 인상에 남는 장면이 없다,광고 임팩트,약한 임팩트,없음,인상적 장면 부재,
272,모델 김소연이 너무 발랄하고 연기를 잘 한다,모델,호감도 높음,발랄함|연기력,,
273,특별히 관심이 없다,전반적 평가,중립적,,관심 부족,
274,자연스럽다,광고 구성,긍정적 평가,자연스러움,,
275,가볍고 활동적이며 젊은 감성이 느껴진다,감성 소구,긍정적,가벼움|활동성|젊은 감성,,
276,즐기는 아웃도어,광고 전반,신선함,즐김|아웃도어,,
277,이유 없음,없음/모름,,,,
278,발랄함과 산뜻한 밝은 가벼운 느낌,감성 소구,긍정적,발랄함|산뜻함|밝음|가벼움,,
279,나쁘지도 좋지도 않기에,전반적 평가,중립적,,나쁘지 않음|좋지 않음,
280,자유로운 일상 즐겁다,감성 소구,긍정적,자유로움|즐거움,,
281,봄에 잘 어울리는 따듯하면서 밝은 느낌이 아웃도어에 잘 어울린다.,감성 소구,긍정적,따듯함|밝은 느낌|어울림,,
282,드리아브하듯 길을 즐긴다,메시지/카피,독창성,길|즐김,,
283,첨보는거라 익숙지 않았기에 평가하기 쉽지 않았지만 왠지 과장된 느낌이어서,광고 전반,평범함,없음,과장된 느낌|익숙하지 않음,
284,배경이 별로임,시각적 요소,부정적 평가,,배경,
285,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
286,평범하고 무난합니다.,광고 전반,평범함,,평범함|무난함,
287,전체적으로 평범함,광고 전반,평범함,,평범함,
288,여성 모델의 밝은 미소가 좋네요,모델,호감도 높음,미소|여성 모델,,
289,안유진이 나와서 눈길이 더 가고 집중이 된다.,모델,호감도 높음,안유진|눈길|집중,,
290,모델이 생기가 있음,모델,호감도 높음,생기,,
291,그냥 재미 없다,전반적 평가,부정적,없음,재미,
292,분위기가 즐겁고 메세지가 명확해서,광고 구성,긍정적 평가,분위기|메세지,,
293,아이브,Not enough data,Not enough data,,,
294,밝아보이는 이미지,비주얼,색감,밝은 이미지,,
295,분위기가 가볍고 발랄해서 구매하고픈 생각이 든다,구매 의도,긍정적,분위기|발랄함,,
296,네파라는 제품이라는것이 각인이된다,기억력,높음,제품|각인,,
297,광고배경,비주얼,배경,,,
298,평범,Not enough data,Not enough data,,,
299,모델과 분위기가 좋다,모델,호감도 높음,모델|분위기,,
300,다이브 멤버 장신 전유진이 나와서 파리처럼 휘휘 움직이는 자세,모델,긍정적 평가,장신 전유진|파리처럼 휘휘 움직이는 자세,,
301,평소 좋아하는 브랜드라 관심을 갖고 봄,제품/브랜드,브랜드 이미지,브랜드|관심,,
302,별로,Not enough data,Not enough data,,,
303,이유 없음,없음/모름,,,,
304,신발보다는 모델만 눈에 들어와서,모델,호감도 낮음,,모델|신발,
305,모름,Not enough data,Not enough data,,,
306,네파의 자연과 함께하는 광고 좋아요,전반적 평가,긍정적,광고|자연,,
307,지루하지 않아서 좋았다.,광고 전반,몰입도,지루하지 않음,,
308,자유로운 트랙킹이나 워킹의 중요성 인지 부족,광고 전반,부정적 평가,,트랙킹|워킹|중요성 인지 부족,
309,모델이 마음에 듦,모델,호감도 높음,모델,,
310,아이브 안유진,모델,호감도 높음,안유진,,
311,모델 호감,모델,호감도 높음,호감,,
312,모델,Not enough data,Not enough data,,,
313,활용하고 싶은 내용이 아니라서,없음/모름,,,,
314,모델이나 무슨 내용 전달인지 모르겠다,메시지/카피,이해도 낮음,없음,모델|내용 전달,
315,명확하다,메시지/카피,이해도 높음,명확성,,
316,모델이 별로이다,모델,호감도 낮음,,모델,
317,편안해 보이는 자연에 편안해 보이는 신발의 조합,비주얼,전체적 분위기,편안함|자연|신발,,
318,모델,Not enough data,Not enough data,,,
319,자연은 즐기수록 커진다,메시지/카피,독창성,즐거움|자연,없음,
320,모델의 밝은 이미지,모델,호감도 높음,밝은 이미지,,
321,신발을 드라이브 하듯이,메시지/카피,독창성,드라이브,,
322,잘 안 와닿음,광고 전반,기억에 남지 않음,,와닿지 않음,
323,깨끗함,Not enough data,Not enough data,,,
324,안유진,Not enough data,Not enough data,,,
325,모델이 깜찍하고 상쾌한 느낌을 주는 광고,모델,호감도 높음,모델|깜찍함|상쾌함,,
326,편안한 신발,제품/브랜드,긍정적 평가,편안함|신발,,
327,자유롭다,감성 소구,긍정적,자유로움,,
328,그냥 무난하다,전반적 평가,중립적,,무난함,
329,이유 없음,없음/모름,,,,
330,명확하다,메시지/카피,이해도 높음,명확성,,
331,편한 신발,제품/브랜드,긍정적 평가,편한 신발,,
332,모델이 메시지를 잘 전달하지 못한 것 같다.,모델,호감도 낮음,없음,메시지 전달력,
333,내용이 평범해서입니다,광고 전반,평범함,없음,평범함,
334,광고 진행이 산뜻하고 가벼운 트래킹을 하고 싶은 욕구가 생김,광고 전반,몰입도,산뜻함|가벼운 트래킹|욕구,,
335,경쾌한 느낌이든다,음악/사운드,긍정적 평가,경쾌함,,
336,자유는 즐길수록 커진다,메시지/카피,독창성,자유|즐거움,,
337,자유로움이 느껴져서,감성 소구,긍정적,자유로움,,
338,모델이 마음에 든다,모델,호감도 높음,모델,,
339,광고 모델이 마음에 든다,모델,호감도 높음,광고 모델,,
340,상큼하고 건강한 이미지,광고 전반,신선함,상큼함|건강한 이미지,,
341,이상적이다,감성 소구,긍정적,이상적|광고,,
342,음악도 좋고 제품이 좋아 보인다,음악/사운드,긍정적 평가,음악,,
343,모델이 마음에 든다,모델,호감도 높음,모델,,
344,이유 없음,없음/모름,,,,
345,구매하고 싶은 마음이 생김,구매 의도,긍정적,구매 마음,,
346,빠른 화면 전개와 함께 밝고 상큼한 광고멘트가 모델과 잘 어울리며 제품을 비교적 자세히 노출하고 있는 점,광고 구성,긍정적 평가,빠른 화면 전개|밝은 광고멘트|상큼한 광고멘트|모델 어울림|제품 노출,,
347,특별함이 없음,광고 전반,평범함,없음,특별함,
348,편안함을 강조해서 좋아요,감성 소구,긍정적,편안함,,
349,안유진이라는 친근한 모델을 사용하여 사람들이 익숙하게 느껴졌을것 같다. 또한 기능을 상세히 시각적으로 보여줘서 이해하기가 쉬웠다.,광고 구성,긍정적 평가,친근한 모델|기능 상세|시각적 표현,,
350,자연을 즐기는 산뜻한 내용이 마음에 듭니다.,전반적 평가,긍정적,자연|산뜻한 내용,,
351,모델과 제품이 잘 어울린다,모델,호감도 높음,모델|제품,,
352,광고 모델과 배경이 눈길을 끈다,모델,호감도 높음,모델|배경,,
353,광고느낌이 매우 상쾌하며 신선함,광고 전반,신선함,상쾌함|신선함,,
354,모델이 누군지 모르겠음,모델,호감도 낮음,,모델 인지도 부족,
355,밝고 경쾌한 느킴의 칼라 핑크,시각적 요소,색감,칼라|핑크|밝음|경쾌함,,
356,광고가 청량하다,감성 소구,긍정적,청량감,,
357,딱히 기억에 남는 부분이 없어서,광고 전반,기억에 남지 않음,,기억에 남는 부분 없음,
358,음악 모델이 좋다,음악/사운드,긍정적 평가,음악|모델,,
359,분위기가 마음에 듬,비주얼,전체적 분위기,분위기,,
360,음악 모델 우수,음악/사운드,긍정적 평가,음악|모델,,
361,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
362,걷는게 대세인데 잘 표현한듯 하다,광고 구성,긍정적 평가,표현|대세,,
363,기억나는 것이 별로 없다,기억력,낮음,없음,기억 부족,
364,활기차다.,감성 소구,긍정적,활기,,
365,비쌀 것 같다,제품/브랜드,부정적 평가,,비싼 가격,
366,나쁘지 않아요,전반적 평가,중립적,,,
367,모델이 이쁘다,모델,호감도 높음,모델|이쁨,,
368,상큼하고 경쾌하다,광고 전반,신선함,상큼함|경쾌함,,
369,특별함이 보이지 않아서,광고 전반,평범함,없음,특별함,
370,모델과 배경이 밝고 화사해서 눈길이 가고 관심이 간다,비주얼,전체적 분위기,모델|배경|밝음|화사함|눈길|관심,,
